x,y
0.0,0.5
0.00625,0.425
0.00625,0.43125
0.00625,0.4375
0.00625,0.44375
0.00625,0.45
0.00625,0.45625
0.00625,0.4625
0.00625,0.46875
0.00625,0.475
0.00625,0.48125
0.00625,0.4875
0.00625,0.49375
0.00625,0.5
0.00625,0.50625
0.00625,0.5125
0.00625,0.51875
0.00625,0.525
0.00625,0.53125
0.00625,0.5375
0.00625,0.54375
0.00625,0.55
0.00625,0.55625
0.00625,0.5625
0.00625,0.56875
0.00625,0.575
0.0125,0.39375
0.0125,0.4
0.0125,0.40625
0.0125,0.4125
0.0125,0.41875
0.0125,0.425
0.0125,0.43125
0.0125,0.4375
0.0125,0.44375
0.0125,0.45
0.0125,0.45625
0.0125,0.4625
0.0125,0.46875
0.0125,0.475
0.0125,0.48125
0.0125,0.4875
0.0125,0.49375
0.0125,0.5
0.0125,0.50625
0.0125,0.5125
0.0125,0.51875
0.0125,0.525
0.0125,0.53125
0.0125,0.5375
0.0125,0.54375
0.0125,0.55
0.0125,0.55625
0.0125,0.5625
0.0125,0.56875
0.0125,0.575
0.0125,0.58125
0.0125,0.5875
0.0125,0.59375
0.0125,0.6
0.0125,0.60625
0.01875,0.36875
0.01875,0.375
0.01875,0.38125
0.01875,0.3875
0.01875,0.39375
0.01875,0.4
0.01875,0.40625
0.01875,0.4125
0.01875,0.41875
0.01875,0.425
0.01875,0.43125
0.01875,0.4375
0.01875,0.44375
0.01875,0.45
0.01875,0.45625
0.01875,0.4625
0.01875,0.46875
0.01875,0.475
0.01875,0.48125
0.01875,0.4875
0.01875,0.49375
0.01875,0.5
0.01875,0.50625
0.01875,0.5125
0.01875,0.51875
0.01875,0.525
0.01875,0.53125
0.01875,0.5375
0.01875,0.54375
0.01875,0.55
0.01875,0.55625
0.01875,0.5625
0.01875,0.56875
0.01875,0.575
0.01875,0.58125
0.01875,0.5875
0.01875,0.59375
0.01875,0.6
0.01875,0.60625
0.01875,0.6125
0.01875,0.61875
0.01875,0.625
0.01875,0.63125
0.025,0.35
0.025,0.35625
0.025,0.3625
0.025,0.36875
0.025,0.375
0.025,0.38125
0.025,0.3875
0.025,0.39375
0.025,0.4
0.025,0.40625
0.025,0.4125
0.025,0.41875
0.025,0.425
0.025,0.43125
0.025,0.4375
0.025,0.44375
0.025,0.45
0.025,0.45625
0.025,0.4625
0.025,0.46875
0.025,0.475
0.025,0.48125
0.025,0.4875
0.025,0.49375
0.025,0.5
0.025,0.50625
0.025,0.5125
0.025,0.51875
0.025,0.525
0.025,0.53125
0.025,0.5375
0.025,0.54375
0.025,0.55
0.025,0.55625
0.025,0.5625
0.025,0.56875
0.025,0.575
0.025,0.58125
0.025,0.5875
0.025,0.59375
0.025,0.6
0.025,0.60625
0.025,0.6125
0.025,0.61875
0.025,0.625
0.025,0.63125
0.025,0.6375
0.025,0.64375
0.025,0.65
0.03125,0.33125
0.03125,0.3375
0.03125,0.34375
0.03125,0.35
0.03125,0.35625
0.03125,0.3625
0.03125,0.36875
0.03125,0.375
0.03125,0.38125
0.03125,0.3875
0.03125,0.39375
0.03125,0.4
0.03125,0.40625
0.03125,0.4125
0.03125,0.41875
0.03125,0.425
0.03125,0.43125
0.03125,0.4375
0.03125,0.44375
0.03125,0.45
0.03125,0.45625
0.03125,0.4625
0.03125,0.46875
0.03125,0.475
0.03125,0.48125
0.03125,0.4875
0.03125,0.49375
0.03125,0.5
0.03125,0.50625
0.03125,0.5125
0.03125,0.51875
0.03125,0.525
0.03125,0.53125
0.03125,0.5375
0.03125,0.54375
0.03125,0.55
0.03125,0.55625
0.03125,0.5625
0.03125,0.56875
0.03125,0.575
0.03125,0.58125
0.03125,0.5875
0.03125,0.59375
0.03125,0.6
0.03125,0.60625
0.03125,0.6125
0.03125,0.61875
0.03125,0.625
0.03125,0.63125
0.03125,0.6375
0.03125,0.64375
0.03125,0.65
0.03125,0.65625
0.03125,0.6625
0.03125,0.66875
0.0375,0.3125
0.0375,0.31875
0.0375,0.325
0.0375,0.33125
0.0375,0.3375
0.0375,0.34375
0.0375,0.35
0.0375,0.35625
0.0375,0.3625
0.0375,0.36875
0.0375,0.375
0.0375,0.38125
0.0375,0.3875
0.0375,0.39375
0.0375,0.4
0.0375,0.40625
0.0375,0.4125
0.0375,0.41875
0.0375,0.425
0.0375,0.43125
0.0375,0.4375
0.0375,0.44375
0.0375,0.45
0.0375,0.45625
0.0375,0.4625
0.0375,0.46875
0.0375,0.475
0.0375,0.48125
0.0375,0.4875
0.0375,0.49375
0.0375,0.5
0.0375,0.50625
0.0375,0.5125
0.0375,0.51875
0.0375,0.525
0.0375,0.53125
0.0375,0.5375
0.0375,0.54375
0.0375,0.55
0.0375,0.55625
0.0375,0.5625
0.0375,0.56875
0.0375,0.575
0.0375,0.58125
0.0375,0.5875
0.0375,0.59375
0.0375,0.6
0.0375,0.60625
0.0375,0.6125
0.0375,0.61875
0.0375,0.625
0.0375,0.63125
0.0375,0.6375
0.0375,0.64375
0.0375,0.65
0.0375,0.65625
0.0375,0.6625
0.0375,0.66875
0.0375,0.675
0.0375,0.68125
0.0375,0.6875
0.04375,0.3
0.04375,0.30625
0.04375,0.3125
0.04375,0.31875
0.04375,0.325
0.04375,0.33125
0.04375,0.3375
0.04375,0.34375
0.04375,0.35
0.04375,0.35625
0.04375,0.3625
0.04375,0.36875
0.04375,0.375
0.04375,0.38125
0.04375,0.3875
0.04375,0.39375
0.04375,0.4
0.04375,0.40625
0.04375,0.4125
0.04375,0.41875
0.04375,0.425
0.04375,0.43125
0.04375,0.4375
0.04375,0.44375
0.04375,0.45
0.04375,0.45625
0.04375,0.4625
0.04375,0.46875
0.04375,0.475
0.04375,0.48125
0.04375,0.4875
0.04375,0.49375
0.04375,0.5
0.04375,0.50625
0.04375,0.5125
0.04375,0.51875
0.04375,0.525
0.04375,0.53125
0.04375,0.5375
0.04375,0.54375
0.04375,0.55
0.04375,0.55625
0.04375,0.5625
0.04375,0.56875
0.04375,0.575
0.04375,0.58125
0.04375,0.5875
0.04375,0.59375
0.04375,0.6
0.04375,0.60625
0.04375,0.6125
0.04375,0.61875
