x,y
0.56875,0.36875
0.50625,0.43125
0.90625,0.525
0.9125,0.65625
0.38125,0.59375
0.33125,0.70625
0.14375,0.175
0.8625,0.275
0.3,0.1875
0.9,0.56875
0.85625,0.1875
0.6875,0.35625
0.45,0.0125
0.91875,0.49375
0.43125,0.8125
0.75625,0.55625
0.45,0.88125
0.24375,0.56875
0.66875,0.90625
0.64375,0.375
0.9125,0.30625
0.775,0.85625
0.74375,0.75625
0.50625,0.91875
0.58125,0.2875
0.25,0.8
0.20625,0.2125
0.74375,0.2
0.73125,0.06875
0.6125,0.575
0.41875,0.20625
0.11875,0.55625
0.73125,0.34375
0.60625,0.225
0.64375,0.325
0.86875,0.34375
0.46875,0.26875
0.19375,0.6125
0.8375,0.2
0.81875,0.88125
0.6125,0.38125
0.175,0.3625
0.55,0.61875
0.2875,0.95
0.21875,0.88125
0.4875,0.775
0.74375,0.79375
0.10625,0.26875
0.15625,0.50625
0.1375,0.84375
0.75625,0.9
0.65,0.225
0.625,0.7125
0.66875,0.15625
0.64375,0.2125
0.70625,0.15625
0.25625,0.55625
0.3125,0.55
0.55625,0.5125
0.21875,0.48125
0.7625,0.2625
0.175,0.2875
0.75625,0.175
0.75625,0.15
0.58125,0.0125
0.5,0.35
0.35,0.2125
0.475,0.56875
0.65,0.73125
0.60625,0.15
0.5375,0.4
0.80625,0.64375
0.5375,0.55625
0.34375,0.675
0.6375,0.34375
0.2,0.80625
0.9375,0.5625
0.39375,0.225
0.6625,0.6125
0.4625,0.5125
0.89375,0.53125
0.28125,0.55
0.20625,0.525
0.9375,0.4
0.73125,0.9
0.025,0.4
0.7375,0.2625
0.29375,0.725
0.34375,0.1375
0.53125,0.66875
0.725,0.8875
0.14375,0.21875
0.55625,0.36875
0.4,0.90625
0.09375,0.46875
0.575,0.69375
0.0875,0.325
0.04375,0.7
0.9125,0.35625
0.61875,0.31875
0.7625,0.14375
0.8,0.6875
0.56875,0.925
0.2,0.3
0.98125,0.375
0.33125,0.2
0.54375,0.75625
0.075,0.275
0.89375,0.35625
0.76875,0.90625
0.11875,0.3
0.7875,0.66875
0.35,0.50625
0.9375,0.55
0.21875,0.41875
0.86875,0.375
0.14375,0.58125
0.6125,0.69375
0.30625,0.9375
0.3375,0.81875
0.625,0.04375
0.7125,0.46875
0.79375,0.69375
0.775,0.68125
0.6375,0.6375
0.4625,0.90625
0.2,0.38125
0.01875,0.525
0.01875,0.48125
0.3625,0.20625
0.48125,0.8375
0.66875,0.3375
0.73125,0.35
0.85,0.6375
0.33125,0.55
0.75625,0.075
0.225,0.13125
0.56875,0.95625
0.80625,0.55625
0.6875,0.18125
0.34375,0.56875
0.29375,0.06875
0.675,0.05625
0.36875,0.55
0.9625,0.65625
0.34375,0.63125
0.575,0.88125
0.20625,0.4875
0.925,0.425
0.8125,0.1125
0.74375,0.6
0.4875,0.975
0.2,0.875
0.46875,0.25625
0.525,0.28125
0.70625,0.61875
0.25625,0.23125
0.4,0.75
0.68125,0.825
0.48125,0.60625
0.28125,0.13125
0.44375,0.88125
0.28125,0.83125
0.45,0.91875
0.24375,0.69375
0.2375,0.28125
0.34375,0.0375
0.68125,0.93125
0.6625,0.29375
0.625,0.86875
0.45625,0.83125
0.68125,0.59375
0.25,0.34375
0.1625,0.55625
0.81875,0.425
0.625,0.3125
0.7,0.71875
0.725,0.28125
0.2875,0.5375
0.6125,0.05625
0.80625,0.75
0.6375,0.6875
0.2125,0.39375
0.0875,0.7375
0.5375,0.9875
0.36875,0.01875
0.2875,0.6875
0.1625,0.3875
0.7625,0.4125
0.1875,0.83125
0.6125,0.35625
0.33125,0.8375
0.6,0.56875
0.7,0.85
0.34375,0.24375
0.71875,0.29375
0.50625,0.64375
0.3625,0.21875
0.9,0.35
0.625,0.41875
0.63125,0.8
0.7125,0.40625
0.575,0.05625
0.78125,0.4125
0.2875,0.08125
0.19375,0.75625
0.9,0.34375
0.7375,0.5
0.53125,0.875
0.36875,0.6625
0.66875,0.11875
0.375,0.69375
0.5,0.325
0.63125,0.43125
0.7125,0.79375
0.05625,0.3375
0.825,0.39375
0.11875,0.20625
0.725,0.94375
0.13125,0.51875
0.55,0.95
0.61875,0.45
0.1375,0.61875
0.3125,0.8
0.64375,0.54375
0.24375,0.575
0.825,0.4125
0.88125,0.4625
0.53125,0.60625
0.69375,0.73125
0.7,0.88125
0.85,0.1625
0.46875,0.85625
0.7375,0.55
0.90625,0.76875
0.51875,0.03125
0.3375,0.7875
0.64375,0.58125
0.5625,0.075
0.55,0.54375
0.2125,0.4375
0.63125,0.25
0.40625,0.86875
0.28125,0.59375
0.36875,0.75625
0.01875,0.54375
0.2,0.30625
0.03125,0.6
0.54375,0.59375
0.58125,0.15
0.04375,0.40625
0.2375,0.925
0.28125,0.64375
0.2625,0.15625
0.16875,0.3125
0.3375,0.5125
0.5,0.075
0.775,0.725
0.4625,0.50625
0.55625,0.54375
0.1625,0.475
0.16875,0.68125
0.33125,0.75625
0.675,0.21875
0.41875,0.0625
0.925,0.60625
0.825,0.25
0.65625,0.425
0.76875,0.825
0.375,0.7875
0.9125,0.55
0.53125,0.2625
0.75625,0.80625
0.61875,0.61875
0.4875,0.25
0.9125,0.21875
0.75,0.38125
0.73125,0.5875
0.55625,0.55625
0.71875,0.7625
0.25625,0.74375
0.94375,0.475
0.575,0.53125
0.65,0.5
0.4375,0.08125
0.525,0.55
0.7,0.2125
0.78125,0.66875
0.2375,0.08125
0.86875,0.20625
0.85625,0.725
0.79375,0.35
